sku,title,brand,category,product_url,price,image,in_stock,e_retailer,client,market,type,position,listing_url,page
B3-377750,"Pampers Premium Protection Größe 4, 9kg-14kg",Pampers,babykind-windelnwickeln-windeln,https://www.bipa.at/pampers-gr.-4-9-14kg-einzelpack/B3-377750.html,7.49,,True,bipa.at,client_name,AT,Search,47,https://www.bipa.at/windeln/windeln-und-wickeln/baby-und-kind?searchRedirect=1,1
B3-621527,BABYWELL Pants Junior Gr. 5,BABYWELL,babykind-windelnwickeln-windeln,https://www.bipa.at/babywell-pants-junior-gr.-5/B3-621527.html,4.12,,True,bipa.at,client_name,AT,Search,48,https://www.bipa.at/windeln/windeln-und-wickeln/baby-und-kind?searchRedirect=1,1
B3-383692,"Pampers Baby-Dry Größe 5+, 12-17kg",Pampers,babykind-windelnwickeln-windeln,https://www.bipa.at/pampers-gr.-5plus-12-17kg-doppelpack/B3-383692.html,12.74,,True,bipa.at,client_name,AT,Search,49,https://www.bipa.at/windeln/windeln-und-wickeln/baby-und-kind?searchRedirect=1,1
B3-475735,"Pampers Harmonie Größe 1, 2kg - 5kg",Pampers,babykind-windelnwickeln-windeln,https://www.bipa.at/pampers-noname/B3-475735.html,4.49,,True,bipa.at,client_name,AT,Search,50,https://www.bipa.at/windeln/windeln-und-wickeln/baby-und-kind?searchRedirect=1,1
B3-422678,HiPP Babysanft Windeln Vorratsbox Gr. 1,HiPP,babykind-windelnwickeln-windeln,https://www.bipa.at/hipp-babysanft-windeln-vorratsbox-gr.-1/B3-422678.html,13.12,https://www.bipa.at/dw/image/v2/AAFT_PRD/on/demandware.static/-/Sites-catalog/de_AT/v1638776757770/original/422678.jpg?sw=130&sfrm=png&q=100,True,bipa.at,client_name,AT,Search,51,https://www.bipa.at/windeln/windeln-und-wickeln/baby-und-kind?searchRedirect=1,1
B3-281077,HiPP Babysanft Windeln Newborn Gr.1 2-5 kg,HiPP,babykind-windelnwickeln-windeln,https://www.bipa.at/hipp-babysanft-windeln-newborn-gr.1-2-5-kg/B3-281077.html,3.74,https://www.bipa.at/dw/image/v2/AAFT_PRD/on/demandware.static/-/Sites-catalog/de_AT/v1638776757770/original/281077.jpg?sw=130&sfrm=png&q=100,True,bipa.at,client_name,AT,Search,52,https://www.bipa.at/windeln/windeln-und-wickeln/baby-und-kind?searchRedirect=1,1
B3-377754,"Pampers Premium Protection Größe 5, 11kg-16kg",Pampers,babykind-windelnwickeln-windeln,https://www.bipa.at/pampers-gr.-5-11-16kg-einzelpack/B3-377754.html,7.49,https://www.bipa.at/dw/image/v2/AAFT_PRD/on/demandware.static/-/Sites-catalog/de_AT/v1638776757770/pg/377754_1.jpg?sw=130&sfrm=png&q=100,True,bipa.at,client_name,AT,Search,53,https://www.bipa.at/windeln/windeln-und-wickeln/baby-und-kind?searchRedirect=1,1
B3-267225,"Pampers Baby-Dry Pants, Größe 6, 15+  kg, Monatsbox",Pampers,babykind-windelnwickeln-windeln,https://www.bipa.at/pampers-baby-dry-pants-gr.6-extra-large-15pluskg-monatsbox/B3-267225.html,33.74,https://www.bipa.at/dw/image/v2/AAFT_PRD/on/demandware.static/-/Sites-catalog/de_AT/v1638776757770/pg/267225_1.jpg?sw=130&sfrm=png&q=100,True,bipa.at,client_name,AT,Search,54,https://www.bipa.at/windeln/windeln-und-wickeln/baby-und-kind?searchRedirect=1,1
B3-923058,"Pampers Premium Protection Pants Größe 4, 9kg-15kg",Pampers,babykind-windelnwickeln-windeln,https://www.bipa.at/pampers-pants-gr.-4-9-15kg-jumbo-pack/B3-923058.html,11.24,https://www.bipa.at/dw/image/v2/AAFT_PRD/on/demandware.static/-/Sites-catalog/de_AT/v1638776757770/pg/923058_1.jpg?sw=130&sfrm=png&q=100,True,bipa.at,client_name,AT,Search,55,https://www.bipa.at/windeln/windeln-und-wickeln/baby-und-kind?searchRedirect=1,1
B3-422715,HiPP Babysanft Windeln Vorratsbox Gr. 6,HiPP,babykind-windelnwickeln-windeln,https://www.bipa.at/hipp-babysanft-windeln-vorratsbox-gr.-6/B3-422715.html,32.62,https://www.bipa.at/dw/image/v2/AAFT_PRD/on/demandware.static/-/Sites-catalog/de_AT/v1638776757770/original/422715.jpg?sw=130&sfrm=png&q=100,True,bipa.at,client_name,AT,Search,56,https://www.bipa.at/windeln/windeln-und-wickeln/baby-und-kind?searchRedirect=1,1
B3-267218,"Pampers Baby-Dry Pants, Größe 5,  12-17kg, Monatsbox",Pampers,babykind-windelnwickeln-windeln,https://www.bipa.at/pampers-baby-dry-pants-gr.5-junior-12-17kg-monatsbox/B3-267218.html,33.74,https://www.bipa.at/dw/image/v2/AAFT_PRD/on/demandware.static/-/Sites-catalog/de_AT/v1638776757770/pg/267218_1.jpg?sw=130&sfrm=png&q=100,True,bipa.at,client_name,AT,Search,57,https://www.bipa.at/windeln/windeln-und-wickeln/baby-und-kind?searchRedirect=1,1
B3-267216,"Pampers Baby-Dry Pants, Größe 4,  9-15kg, Monatsbox",Pampers,babykind-windelnwickeln-windeln,https://www.bipa.at/pampers-baby-dry-pants-gr.4-maxi-9-15kg-monatsbox/B3-267216.html,33.74,https://www.bipa.at/dw/image/v2/AAFT_PRD/on/demandware.static/-/Sites-catalog/de_AT/v1638776757770/pg/267216_1.jpg?sw=130&sfrm=png&q=100,True,bipa.at,client_name,AT,Search,58,https://www.bipa.at/windeln/windeln-und-wickeln/baby-und-kind?searchRedirect=1,1
