sku,title,brand,product_url,description,old_price,price,main_image,in_stock,category,rating,reviews,e_retailer,client,market,type,position,listing_url
p-158025,ORAL-B Pro 3 Junior Star Wars spazzolino elettrico 80353788,ORAL-B,https://www.mediaworld.it/product/p-158025/oral-b-pro-3-junior-star-wars-spazzolino-elettrico-80353788,          1 Testina - 3 Velocità Ricaricabile - Timer Oscillazioni al minuto: 9900 Pulsazioni al minuto: 45000 Tecnologia rotatoria oscillante e pulsante,,44.99,https://asset.mediaw.it/wcsstore/MMCatalogAssetStore/asset/images/15/80/158025_thumb.jpg,True,Spazzolino elettrico,,,mediaworld.it,P&G,IT,Search,8,https://www.mediaworld.it/search/spazzolino%20elettrico?page=2
p-158026,ORAL-B Pro 3 Junior Minnie spazzolino elettrico 80353791,ORAL-B,https://www.mediaworld.it/product/p-158026/oral-b-pro-3-junior-minnie-spazzolino-elettrico-80353791,          1 Testina Ricaricabile - Timer Oscillazioni al minuto: 9900 Pulsazioni al minuto: 45000 Tecnologia rotatoria oscillante e pulsante,,44.99,https://asset.mediaw.it/wcsstore/MMCatalogAssetStore/asset/images/15/80/158026_thumb.jpg,True,Spazzolino elettrico,,,mediaworld.it,P&G,IT,Search,9,https://www.mediaworld.it/search/spazzolino%20elettrico?page=2
p-161960,ORAL-B iO spazzolino elettrico Series 6 Grey,ORAL B iO,https://www.mediaworld.it/product/p-161960/oral-b-io-spazzolino-elettrico-series-6-grey,          Alimentazione: Ricaricabile Numero testine: 1 Velocità: 5 Timer,,117.99,https://asset.mediaw.it/wcsstore/MMCatalogAssetStore/asset/images/16/19/161960_thumb.jpg,True,Spazzolino elettrico,,,mediaworld.it,P&G,IT,Search,10,https://www.mediaworld.it/search/spazzolino%20elettrico?page=2
p-123368,PHILIPS DiamondClean 9000 HX9911/29,PHILIPS,https://www.mediaworld.it/product/p-123368/philips-diamondclean-9000-hx9911-29,"          Sensore di pressione integrato 4 Modalità, 3 Intensità Testina C3 Premium Plaque Defence Bicchiere ricarica - Custodia",,169.99,https://asset.mediaw.it/wcsstore/MMCatalogAssetStore/asset/images/12/33/123368_thumb.jpg,True,Spazzolino elettrico,5.0000,(5),mediaworld.it,P&G,IT,Search,11,https://www.mediaworld.it/search/spazzolino%20elettrico?page=2
p-150239,PHILIPS HX9913/17,PHILIPS,https://www.mediaworld.it/product/p-150239/philips-hx9913-17,          Alimentazione: Ricaricabile - Numero testine: 2 Tecnologia pulizia denti: Sonica - Timer: S&igrave,,224.99,https://asset.mediaw.it/wcsstore/MMCatalogAssetStore/asset/images/15/02/150239_thumb.jpg,True,Spazzolino Elettrico,,,mediaworld.it,P&G,IT,Search,12,https://www.mediaworld.it/search/spazzolino%20elettrico?page=2
p-161011,PHILIPS HX3651/13,PHILIPS,https://www.mediaworld.it/product/p-161011/philips-hx3651-13,          Ricaricabile Timer - 1 Testina Oscillazioni al minuto: 31000,,39.99,https://asset.mediaw.it/wcsstore/MMCatalogAssetStore/asset/images/16/10/161011_thumb.jpg,True,Spazzolino elettrico,,,mediaworld.it,P&G,IT,Search,13,https://www.mediaworld.it/search/spazzolino%20elettrico?page=2
p-161013,PHILIPS HX6807/63,PHILIPS,https://www.mediaworld.it/product/p-161013/philips-hx6807-63,          Ricaricabile - Timer Oscillazioni al minuto: 62000 2 Modalità di spazzolamento Manico ProtectiveClean Testine InterCare standard,,79.99,https://asset.mediaw.it/wcsstore/MMCatalogAssetStore/asset/images/16/10/161013_thumb.jpg,True,Spazzolino elettrico,,,mediaworld.it,P&G,IT,Search,14,https://www.mediaworld.it/search/spazzolino%20elettrico?page=2
p-161764,PHILIPS HX3673/13,PHILIPS,https://www.mediaworld.it/product/p-161764/philips-hx3673-13,          Alimentazione: Ricaricabile - Numero testine: 1 Oscillazioni al minuto: 31000 -  Timer QuadPacer - SmarTimer Controllo carica batteria Contenitore da viaggio incluso,,59.99,https://asset.mediaw.it/wcsstore/MMCatalogAssetStore/asset/images/16/17/161764_thumb.jpg,True,Spazzolino elettrico,,,mediaworld.it,P&G,IT,Search,15,https://www.mediaworld.it/search/spazzolino%20elettrico?page=2
p-161804,PHILIPS HX3675/15,PHILIPS,https://www.mediaworld.it/product/p-161804/philips-hx3675-15,          Alimentazione: Ricaricabile - Numero testine: 2 Oscillazioni al minuto: 31000 - Timer - 2 Spazzolini QuadPacer - SmarTimer - Modalità Clean Controllo carica batteria Contenitore da viaggio incluso Incluse 2 Testine 3100 + 2 Testine C1 ProResult,,99.99,https://asset.mediaw.it/wcsstore/MMCatalogAssetStore/asset/images/16/18/161804_thumb.jpg,True,Spazzolino elettrico,,,mediaworld.it,P&G,IT,Search,16,https://www.mediaworld.it/search/spazzolino%20elettrico?page=2
p-163156,ORAL-B iO Series 6 White,ORAL B iO,https://www.mediaworld.it/product/p-163156/oral-b-io-series-6-white,          Alimentazione: Ricaricabile - 1 Testina 5 Velocità - 5 Modalità Smart Display interattivo - Timer Sensore di pressione - Contenitore viaggio,,120.99,https://asset.mediaw.it/wcsstore/MMCatalogAssetStore/asset/images/16/31/163156_thumb.jpg,True,spazzolino elettrico,,,mediaworld.it,P&G,IT,Search,17,https://www.mediaworld.it/search/spazzolino%20elettrico?page=2
p-101936,ORAL-B Genius 8600 Argento,ORAL B,https://www.mediaworld.it/product/p-101936/oral-b-genius-8600-argento,          Spazzolino elettrico Ricaricabile Oscillazioni al minuto: 9900 - Pulsazioni al minuto: 45000 Tecnologia pulizia denti: Rotatoria oscillante e pulsante - Timer,,148.99,https://asset.mediaw.it/wcsstore/MMCatalogAssetStore/asset/images/10/19/101936_thumb.jpg,True,Spazzolino elettrico,5.0000,(10),mediaworld.it,P&G,IT,Search,18,https://www.mediaworld.it/search/spazzolino%20elettrico?page=2
p-709287,ORAL-B Pro 600 Bipacco,ORAL B,https://www.mediaworld.it/product/p-709287/oral-b-pro-600-bipacco,          - Una settimana di autonomia con carica completa - 8800 oscillazioni al minuto ? Pulizia profonda - Timer professionale e sensore di pressione ? Aiuta a spazzolare le 4 zone della bocca e non rovina lo smalto - Impugnatura antiscivolo,,35.99,https://asset.mediaw.it/wcsstore/MMCatalogAssetStore/asset/images/70/92/709287_thumb.jpg,True,spazzolino elettrico bipack,5.0000,(1),mediaworld.it,P&G,IT,Search,19,https://www.mediaworld.it/search/spazzolino%20elettrico?page=2
p-138923,ORAL-B iO Series 8 Black Onyx,ORAL B iO,https://www.mediaworld.it/product/p-138923/oral-b-io-series-8-black-onyx,          6 Velocità - 6 Modalità di spazzolamento Tecnologia della pulizia denti: Micropulsazioni Batteria: Litio - Display Interattivo Tecnologia iO - Sensore di pressione dello spazzolamento smart - Custodia da viaggio,,169.99,https://asset.mediaw.it/wcsstore/MMCatalogAssetStore/asset/images/13/89/138923_thumb.jpg,True,Spazzolino elettrico,5.0000,(10),mediaworld.it,P&G,IT,Search,20,https://www.mediaworld.it/search/spazzolino%20elettrico?page=2
p-158029,ORAL-B Pro 3 3700 Cross Action spazzolino elettrico 80332162,ORAL-B,https://www.mediaworld.it/product/p-158029/oral-b-pro-3-3700-cross-action-spazzolino-elettrico-80332162,          2 Testine - 3 Velocità Ricaricabile - Timer Oscillazioni al minuto: 9900 Pulsazioni al minuto: 45000 Tecnologia rotatoria oscillante e pulsante,,43.99,https://asset.mediaw.it/wcsstore/MMCatalogAssetStore/asset/images/15/80/158029_thumb.jpg,True,Spazzolino elettrico,,,mediaworld.it,P&G,IT,Search,21,https://www.mediaworld.it/search/spazzolino%20elettrico?page=2
p-158027,ORAL-B Pro 3 3700 Sensitive spazzolino elettrico 80332205,ORAL-B,https://www.mediaworld.it/product/p-158027/oral-b-pro-3-3700-sensitive-spazzolino-elettrico-80332205,          2 Testine - 3 Velocità Ricaricabile - Timer Oscillazioni al minuto: 9900 Pulsazioni al minuto: 45000 Tecnologia rotatoria oscillante e pulsante,,49.99,https://asset.mediaw.it/wcsstore/MMCatalogAssetStore/asset/images/15/80/158027_thumb.jpg,True,Spazzolino elettrico,,,mediaworld.it,P&G,IT,Search,22,https://www.mediaworld.it/search/spazzolino%20elettrico?page=2
p-517704,ORAL-B Testine EB10/3 Kids 3 Pezzi,ORAL B,https://www.mediaworld.it/product/p-517704/oral-b-testine-eb10-3-kids-3-pezzi,          Testine piccole per bambini per spazzolino elettrico Setole con tecnologia &quotflowered&quot - 3pz,,12.99,https://asset.mediaw.it/wcsstore/MMCatalogAssetStore/asset/images/51/77/517704_thumb.jpg,True,Testine piccole per spazzolino elettrico,,,mediaworld.it,P&G,IT,Search,23,https://www.mediaworld.it/search/spazzolino%20elettrico?page=2
